id,gender,age,country,days_on_site_in_2016
1411,M,33,US,4
1412,M,22,CA,5
1413,F,31,US,9
1414,M,51,US,1
1415,F,45,US,4
1416,F,29,US,3
1417,M,31,US,4
1418,F,40,US,1
1419,,30,CA,7
1420,F,42,US,10
1421,F,30,US,9
1422,M,44,US,5
1423,,44,US,7
1424,,24,US,1
1425,M,28,US,21
1426,F,23,US,37
1427,F,30,US,18
1428,,32,CA,18
1429,M,41,US,5
1430,M,52,US,8
1431,F,54,CA,4
1432,M,45,CA,3
1433,,49,US,1
1434,M,53,US,9
1435,M,54,CA,1
1436,F,42,CA,4
1437,,51,US,2
1438,F,47,CA,1
1439,,34,US,8
1440,F,21,US,1
1441,F,27,US,14
1442,F,23,US,9
1443,,42,US,12
1444,F,28,US,1
1445,M,29,US,7
1446,,26,US,9
1447,,50,US,59
1448,,35,US,1
1449,M,30,US,4
1450,M,29,US,2
1451,,21,US,9
1452,F,45,US,6
1453,F,43,US,6
1454,F,35,US,26
1455,F,23,US,14
1456,,33,CA,15
1457,,34,US,8
1458,M,47,US,49
1459,M,25,US,13
1460,,54,US,16
1461,F,52,US,7
1462,M,31,US,5
1463,M,52,CA,5
1464,,53,US,1
1465,,47,CA,17
1466,,22,US,20
1467,,23,US,7
1468,F,25,US,6
1469,,51,CA,1
1470,,50,US,6
1471,M,32,US,5
1472,M,50,US,1
1473,F,36,US,5
1474,,28,US,46
1475,M,50,US,20
1476,,49,US,1
1477,F,28,US,24
1478,,49,CA,4
1479,M,50,US,1
1480,M,27,US,2
1481,,33,US,6
1482,,23,US,5
1483,,51,US,1
1484,M,38,US,13
1485,M,54,US,54
1486,,44,US,23
1487,,48,US,1
1488,,38,US,13
1489,,51,US,15
1490,M,46,US,2
1491,M,35,US,2
1492,,39,US,3
1493,F,52,US,8
1494,F,21,US,10
1495,M,41,US,37
1496,F,46,US,6
1497,M,27,US,6
1498,F,24,US,11
1499,F,28,US,12
1500,M,33,US,42
1501,M,28,US,2
1502,M,51,US,16
1503,,46,US,7
1504,M,28,US,6
1505,M,46,US,3
1506,F,45,US,13
1507,,38,US,45
1508,M,46,US,32
1509,F,27,US,5
1510,M,37,US,12
1511,,32,US,29
1512,F,48,US,4
1513,M,21,US,3
1514,M,30,US,7
1515,M,54,US,9
1516,M,21,US,2
1517,F,37,US,3
1518,F,52,US,2
1519,,43,US,8
1520,,47,US,3
1521,F,47,US,5
1522,,25,US,23
1523,F,36,US,13
1524,M,21,US,4
1525,,40,US,25
1526,M,52,US,7
1527,,42,US,11
1528,,37,US,13
1529,,51,US,3
1530,,45,US,3
1531,F,34,US,17
1532,,34,US,6
1533,F,25,US,7
1534,,27,US,21
1535,F,31,US,2
1536,,24,US,14
1537,,50,CA,3
1538,M,49,US,5
1539,M,33,US,10
1540,M,34,US,4
1541,,51,US,23
1542,,21,US,6
1543,,54,US,30
1544,F,51,US,3
1545,M,42,US,1
1546,F,50,US,6
1547,,26,US,11
1548,,41,CA,13
1549,M,28,US,11
1550,M,32,CA,12
1551,M,47,CA,16
1552,F,38,US,1
1553,F,45,US,20
1554,,52,US,29
1555,M,32,US,19
1556,F,47,US,11
1557,F,50,CA,7
1558,M,32,US,16
1559,,47,US,2
1560,M,47,US,4
1561,F,36,US,7
1562,M,33,CA,14
1563,F,53,US,5
1564,,37,US,4
1565,F,45,US,12
1566,F,32,US,3
1567,F,50,CA,11
1568,M,50,US,7
1569,,26,US,10
1570,,47,US,13
1571,M,43,US,10
1572,,49,US,14
1573,F,31,US,3
1574,F,25,CA,22
1575,M,51,US,4
1576,,28,US,3
1577,F,53,US,11
1578,,45,CA,4
1579,F,49,US,7
1580,,35,US,2
1581,,54,US,15
1582,M,32,US,3
1583,M,41,US,9
1584,M,36,US,13
1585,,25,CA,5
1586,M,49,US,5
1587,F,27,CA,11
1588,M,51,CA,20
1589,M,47,US,1
1590,M,50,CA,14
1591,M,34,US,11
1592,F,35,US,4
1593,M,48,US,5
1594,,21,US,17
1595,F,22,US,29
1596,,44,US,9
1597,,54,US,32
1598,,47,US,4
1599,,24,US,3
1600,M,41,US,1
1601,M,47,US,2
1602,,40,US,12
1603,M,40,US,22
1604,M,34,US,5
1605,M,22,US,5
1606,,47,US,15
1607,F,34,US,3
1608,M,38,US,6
1609,F,32,US,6
1610,,40,US,13
1611,,36,US,2
1612,M,29,US,3
1613,F,45,US,34
1614,M,31,US,9
1615,M,54,US,8
1616,M,51,US,14
1617,F,51,US,3
1618,,46,US,10
1619,M,40,US,29
1620,F,38,US,3
1621,M,31,US,10
1622,M,37,US,11
1623,F,46,US,15
1624,F,48,US,14
1625,M,31,US,14
1626,F,47,US,6
1627,,54,US,16
1628,F,44,US,7
1629,,54,US,1
1630,F,26,US,4
1631,F,49,US,26
1632,M,25,US,23
1633,M,49,US,4
1634,,48,US,4
1635,,52,US,1
1636,M,54,US,18
1637,,51,CA,5
1638,,46,US,2
1639,F,34,US,5
1640,M,30,US,15
1641,M,41,US,35
1642,M,38,US,6
1643,F,33,US,11
1644,F,36,US,8
1645,F,49,CA,31
1646,F,36,US,12
1647,,39,US,3
1648,M,51,US,1
1649,M,52,US,29
1650,,32,US,7
1651,F,39,US,1
1652,M,26,US,7
1653,M,44,US,8
1654,F,26,US,2
1655,,25,US,11
1656,F,50,US,17
1657,F,41,US,11
1658,,46,US,2
1659,,40,US,39
1660,F,51,US,27
1661,F,45,US,8
1662,F,32,US,26
1663,F,38,US,9
1664,F,41,US,7
1665,M,36,US,20
1666,M,21,US,1
1667,F,22,US,13
1668,F,54,US,15
1669,F,21,US,6
1670,,40,US,12
1671,F,51,US,1
1672,F,43,US,18
1673,,46,US,5
1674,,25,US,13
1675,,28,US,4
1676,F,41,US,15
1677,,39,US,2
1678,M,53,US,36
1679,,26,US,11
1680,,44,US,5
1681,F,41,CA,43
1682,,50,US,10
1683,,36,US,4
1684,F,44,US,29
1685,F,42,US,10
1686,F,31,US,9
1687,M,38,US,3
1688,,27,CA,7
1689,M,46,US,4
1690,F,43,US,5
1691,,48,US,24
1692,,31,US,4
1693,,38,US,14
1694,M,39,US,17
1695,M,27,US,6
1696,M,50,US,3
1697,F,52,US,2
1698,F,26,US,12
1699,,40,US,5
1700,,26,US,7
1701,M,36,US,1
1702,F,54,US,14
1703,M,24,US,28
1704,,30,CA,19
1705,M,45,US,1
1706,F,42,US,1
1707,F,23,US,1
1708,M,32,US,7
1709,M,24,US,19
1710,,38,US,2
1711,,44,US,4
1712,,40,US,4
1713,M,44,CA,2
1714,F,26,US,1
1715,F,25,US,5
1716,F,30,US,1
1717,M,54,US,2
1718,,36,US,3
1719,,53,US,12
1720,F,41,US,17
1721,M,44,US,9
1722,F,23,US,4
1723,F,28,US,20
1724,F,42,US,2
1725,F,48,US,1
1726,F,34,US,9
1727,M,39,US,11
1728,M,30,CA,10
1729,M,31,US,2
1730,M,26,US,2
1731,F,46,US,6
1732,F,44,US,8
1733,,30,US,8
1734,F,39,US,3
1735,F,41,US,7
1736,,53,US,15
1737,M,41,US,18
1738,F,29,US,1
1739,,48,US,10
1740,M,51,US,24
1741,M,25,US,10
1742,,23,US,20
1743,F,26,US,3
1744,M,27,US,7
1745,,51,US,36
1746,,31,US,1
1747,M,33,US,3
1748,,33,US,4
1749,F,29,US,2
1750,F,32,US,24
1751,,46,US,29
1752,F,25,US,8
1753,,21,US,4
1754,F,44,US,2
1755,,25,US,1
1756,,45,US,1
1757,F,35,US,3
1758,M,25,US,22
1759,F,34,US,70
1760,F,26,US,5
1761,,34,US,30
1762,M,38,US,25
1763,F,54,US,7
1764,M,35,US,3
1765,M,39,US,7
1766,M,28,US,5
1767,M,54,US,21
1768,F,25,US,22
1769,M,21,US,2
1770,M,44,US,3
1771,,41,US,15
1772,M,51,US,19
1773,F,22,US,1
1774,F,21,US,11
1775,,29,US,10
1776,M,30,US,6
1777,F,50,US,14
1778,,24,US,4
1779,,42,CA,32
1780,M,45,US,2
1781,,54,US,15
1782,M,22,US,6
1783,F,41,US,6
1784,M,44,US,6
1785,F,28,US,8
1786,F,47,US,9
1787,F,30,US,8
1788,M,39,US,1
1789,M,48,US,15
1790,M,41,US,9
1791,M,29,US,3
1792,,36,US,1
1793,M,39,US,6
1794,M,42,US,21
1795,M,48,US,11
1796,F,53,US,5
1797,M,23,US,6
1798,F,37,US,19
1799,,22,US,5
1800,,39,US,18
1801,F,45,US,3
1802,,50,US,17
1803,,35,US,13
1804,,34,US,3
1805,M,31,US,15
1806,M,37,US,21
1807,F,26,US,4
1808,F,22,US,9
1809,,43,US,17
1810,F,27,US,23
1811,F,37,CA,2
1812,,33,US,12
1813,,36,US,2
1814,F,46,US,1
1815,F,47,US,11
1816,F,39,US,25
1817,M,46,CA,2
1818,M,26,US,16
1819,,43,US,4
1820,,22,US,2
1821,F,45,US,4
1822,,23,US,8
1823,,26,US,5
1824,,28,US,2
1825,,49,US,4
1826,F,42,US,2
1827,,40,US,24
1828,F,42,US,12
1829,,28,US,5
1830,M,21,CA,4
1831,M,48,US,26
1832,F,39,US,1
1833,,23,CA,7
1834,,44,US,8
1835,,54,US,2
1836,M,33,US,1
1837,F,32,US,4
1838,F,38,US,11
1839,,52,CA,34
1840,,37,US,11
1841,M,51,US,2
1842,M,46,US,5
1843,,37,US,9
1844,M,53,US,4
1845,F,53,US,15
1846,,34,US,20
1847,M,21,US,16
1848,M,46,US,4
1849,F,35,US,6
1850,M,23,US,14
1851,,26,US,39
1852,F,53,US,17
1853,,27,US,2
1854,,43,US,1
1855,,36,US,2
1856,,34,CA,37
1857,F,54,US,1
1858,F,21,US,20
1859,M,54,US,5
1860,,39,US,6
1861,,21,US,18
1862,F,37,US,18
1863,M,27,US,14
1864,,22,CA,21
1865,,30,US,7
1866,M,37,US,3
1867,M,44,US,2
1868,M,27,US,7
1869,M,22,CA,6
1870,M,25,US,4
1871,F,40,US,3
1872,F,51,US,11
1873,,40,US,13
1874,F,33,US,5
1875,F,51,CA,8
1876,F,30,CA,3
1877,M,40,US,12
1878,,37,US,11
1879,F,24,US,4
1880,M,41,US,26
1881,M,46,US,11
1882,,51,US,8
1883,M,53,US,9
1884,F,30,US,37
1885,M,36,US,6
1886,,21,US,3
1887,F,39,CA,4
1888,,53,US,4
1889,F,24,US,22
1890,M,44,US,20
1891,,53,US,5
1892,M,35,US,12
1893,,28,US,6
1894,F,44,US,14
1895,F,44,US,7
1896,F,27,US,14
1897,F,50,US,6
1898,F,34,US,7
1899,M,31,US,1
1900,,24,US,6
1901,M,26,US,3
1902,M,47,US,23
1903,,47,US,12
1904,F,28,US,19
1905,,37,US,30
1906,,34,US,8
1907,M,30,US,20
1908,F,40,US,6
1909,,51,US,1
1910,,32,CA,2
1911,F,42,US,1
1912,F,42,US,4
1913,F,45,US,11
1914,,31,CA,56
1915,,33,US,8
1916,,28,US,12
1917,,32,US,8
1918,,51,CA,7
1919,M,43,US,3
1920,,30,US,3
1921,F,34,US,5
1922,F,35,US,8
1923,F,54,US,20
1924,,26,CA,15
1925,,32,US,45
1926,F,49,US,3
1927,F,41,US,3
1928,M,36,US,2
1929,F,23,US,2
1930,,37,US,1
1931,M,23,US,2
1932,,30,CA,5
1933,F,47,US,5
1934,F,37,US,22
1935,M,27,US,35
1936,,29,US,9
1937,F,24,US,2
1938,M,53,US,8
1939,M,37,US,2
1940,M,24,US,4
1941,F,37,US,15
1942,,23,US,4
1943,,22,US,15
1944,M,42,US,8
1945,F,36,US,7
1946,F,47,US,18
1947,,31,US,20
1948,,25,CA,24
1949,,51,US,14
1950,F,21,CA,28
1951,M,50,US,8
1952,F,41,US,2
1953,M,29,US,10
1954,F,51,US,5
1955,,37,US,9
1956,,44,US,5
1957,M,52,US,2
1958,F,45,US,1
1959,F,31,US,3
1960,,22,US,10
1961,M,29,US,3
1962,M,49,US,5
1963,M,30,US,4
1964,F,45,US,10
1965,M,32,US,17
1966,,21,US,32
1967,M,35,US,12
1968,F,48,CA,12
1969,,32,US,3
1970,,22,US,8
1971,,35,US,19
1972,M,34,US,26
1973,,47,US,7
1974,,36,US,49
1975,,27,US,47
1976,F,38,US,14
1977,M,38,US,11
1978,,44,US,29
1979,,30,US,3
1980,,31,US,9
1981,M,26,US,15
1982,M,52,CA,18
1983,F,53,US,6
1984,M,46,US,18
1985,,37,US,3
1986,M,24,US,1
1987,M,30,US,5
1988,,27,US,6
1989,M,40,US,2
1990,M,42,CA,11
1991,F,54,US,1
1992,,35,US,3
1993,F,43,US,9
1994,F,47,US,6
1995,M,40,US,8
1996,F,21,CA,2
1997,M,21,US,12
1998,M,48,US,5
1999,M,34,US,30
2000,F,38,US,22
2001,F,30,US,12
2002,F,48,CA,5
2003,F,46,US,16
2004,,27,US,10
2005,M,42,US,4
2006,,39,US,24
2007,F,51,US,16
2008,,45,CA,9
2009,M,39,CA,1
2010,F,39,US,6
2011,F,24,US,3
2012,,37,US,7
2013,M,52,US,11
2014,M,37,US,12
2015,M,28,US,6
2016,,22,US,5
2017,F,54,US,5
2018,M,45,US,11
2019,F,37,US,7
2020,M,30,US,16
2021,,21,US,4
2022,F,53,US,7
2023,,41,US,30
2024,,32,US,23
2025,,49,US,5
2026,F,41,US,6
2027,F,43,US,5
2028,,33,CA,19
2029,,41,US,8
2030,,40,US,3
2031,M,25,US,19
2032,M,52,US,11
2033,,44,US,12
2034,M,31,US,3
2035,M,22,US,13
2036,M,38,US,5
2037,,33,US,31
2038,M,27,US,12
2039,F,42,US,10
2040,F,25,US,9
2041,M,22,US,1
2042,M,23,US,4
2043,,52,US,8
2044,M,33,US,7
2045,M,54,US,7
2046,F,32,CA,1
2047,,34,US,9
2048,,43,US,8
2049,F,49,CA,3
2050,M,44,US,18
2051,M,24,US,8
2052,,29,US,1
2053,M,39,CA,5
2054,M,30,US,2
2055,M,33,US,35
2056,F,36,US,8
2057,,54,US,18
2058,M,39,US,15
2059,M,28,US,4
2060,,50,US,6
2061,M,51,US,16
2062,F,46,US,5
2063,F,52,US,3
2064,F,32,US,2
2065,F,52,US,3
2066,F,23,US,3
2067,M,26,US,34
2068,F,42,US,8
2069,,40,US,15
2070,,45,US,23
2071,M,44,US,8
2072,M,53,US,14
2073,,36,US,8
2074,M,53,US,19
2075,,22,US,17
2076,,34,US,6
2077,F,32,US,8
2078,M,30,US,15
2079,F,39,US,1
2080,F,21,US,20
2081,M,29,US,9
2082,M,22,CA,3
2083,M,53,US,7
2084,,39,US,5
2085,M,48,US,5
2086,,50,CA,11
2087,M,46,US,17
2088,,31,US,1
2089,F,50,US,17
2090,,38,US,8
2091,M,32,US,6
2092,F,42,US,6
2093,F,44,US,7
2094,F,52,CA,41
2095,M,37,US,16
2096,,29,CA,13
2097,F,40,US,3
2098,F,35,US,20
2099,F,23,US,4
2100,F,46,US,10
2101,F,32,US,7
2102,F,51,US,5
2103,F,31,US,3
2104,F,30,US,4
2105,,21,US,2
2106,M,54,US,4
2107,M,41,US,29
2108,F,54,US,3
2109,M,22,US,1
2110,F,25,US,1
2111,F,23,US,12
2112,,34,CA,2
2113,F,32,US,4
2114,M,31,US,6
2115,,32,US,3
2116,M,53,CA,4
2117,M,42,US,7
2118,F,26,US,1
2119,F,24,US,15
2120,,33,US,36
2121,M,50,CA,12
2122,,39,US,2
2123,F,44,US,1
2124,F,43,US,15
2125,F,24,US,7
2126,,45,US,9
2127,M,21,US,14
2128,M,47,US,11
2129,F,45,US,18
2130,M,35,US,31
2131,F,24,US,22
2132,,44,US,9
2133,M,48,US,7
2134,M,30,US,13
2135,,36,US,13
2136,,51,US,11
2137,M,43,US,2
2138,,25,US,3
2139,,54,US,9
2140,M,42,US,4
2141,M,50,US,4
2142,M,32,US,3
2143,F,54,US,1
2144,F,53,US,2
2145,F,45,US,5
2146,M,33,US,6
2147,,36,US,3
2148,,39,CA,1
2149,M,31,US,1
2150,F,36,US,1
2151,F,36,US,14
2152,M,27,CA,10
2153,,53,US,13
2154,M,29,US,13
2155,M,53,US,19
2156,M,54,CA,2
2157,F,23,US,2
2158,,39,US,11
2159,,35,US,6
2160,,26,US,1
2161,,24,US,9
2162,M,27,US,5
2163,F,38,US,2
2164,,53,US,3
2165,,30,US,10
2166,F,27,US,17
2167,F,49,US,7
2168,M,27,US,16
2169,M,34,US,2
2170,F,43,US,24
2171,,46,US,10
2172,M,51,US,5
2173,M,22,US,4
2174,,52,CA,5
2175,F,31,US,29
2176,F,38,US,3
2177,,42,US,22
2178,,53,US,33
2179,,46,US,9
2180,F,25,US,1
2181,M,49,US,6
2182,F,53,US,2
2183,M,44,US,26
2184,F,53,US,8
2185,,22,US,5
2186,M,33,US,24
2187,F,25,US,20
2188,M,42,US,15
2189,F,43,US,7
2190,F,54,US,9
2191,,46,US,4
2192,F,53,US,19
2193,F,30,US,1
2194,F,37,US,6
2195,M,53,US,9
2196,M,44,US,2
2197,,35,US,2
2198,,22,US,16
2199,,32,US,1
2200,F,28,US,6
2201,F,24,US,5
2202,F,33,US,2
2203,F,25,US,4
2204,M,41,US,21
2205,F,50,US,3
2206,,50,US,4
2207,F,44,US,1
2208,F,46,US,7
2209,M,26,US,1
2210,M,37,US,24
2211,,52,US,11
2212,M,43,US,12
2213,,28,US,11
2214,,25,CA,5
2215,M,33,CA,11
2216,M,53,US,4
2217,,32,US,12
2218,,50,CA,7
2219,F,34,US,1
2220,F,50,US,10
2221,,34,US,7
2222,F,30,US,15
2223,,33,US,5
2224,F,28,US,24
2225,F,31,US,6
2226,,28,US,19
2227,M,46,US,19
2228,,48,US,1
2229,F,32,US,4
2230,F,45,US,13
2231,,30,US,15
2232,F,25,US,1
2233,M,35,US,9
2234,M,34,US,5
2235,,26,US,24
2236,M,21,US,3
2237,,25,US,8
2238,F,31,US,8
2239,M,39,US,4
2240,F,45,US,30
2241,,38,US,1
2242,M,47,US,15
2243,M,44,US,1
2244,,42,US,10
2245,M,40,US,4
2246,F,39,US,1
2247,M,25,US,3
2248,,24,US,7
2249,M,27,US,3
2250,M,45,US,57
2251,M,35,CA,5
2252,F,51,CA,12
2253,M,44,US,9
2254,,46,US,21
2255,,23,US,5
2256,,53,US,1
2257,M,33,US,3
2258,F,42,CA,1
2259,M,46,US,4
2260,,46,US,1
2261,F,50,CA,3
2262,F,27,US,7
2263,M,47,US,9
2264,M,46,US,21
2265,F,26,US,44
2266,,44,US,2
2267,M,29,US,30
2268,,34,US,6
2269,F,27,US,29
2270,,40,US,26
2271,,24,US,7
2272,M,46,US,2
2273,M,54,US,7
2274,M,38,US,2
2275,M,50,US,3
2276,M,40,US,12
2277,F,40,CA,7
2278,,30,US,8
2279,,46,US,46
2280,,38,US,26
2281,M,39,US,4
2282,,51,US,2
2283,F,22,US,2
2284,M,23,CA,3
2285,,49,US,1
2286,,31,US,22
2287,M,34,CA,4
2288,F,25,US,1
2289,F,42,US,6
2290,F,28,US,11
2291,,37,US,4
2292,F,54,US,7
2293,,28,US,12
2294,F,48,US,3
2295,,47,US,13
2296,F,33,US,9
2297,,41,US,9
2298,,42,US,4
2299,M,48,US,12
2300,M,43,CA,2
2301,F,45,US,4
2302,F,22,US,7
2303,,48,US,14
2304,M,38,US,5
2305,F,41,US,3
2306,M,26,US,24
2307,M,35,US,1
2308,,26,US,12
2309,M,32,US,18
2310,,44,US,7
2311,F,51,US,26
2312,M,50,US,5
2313,,33,US,12
2314,,44,US,8
2315,M,53,CA,6
2316,M,54,US,4
2317,F,52,US,12
2318,F,54,US,19
2319,,28,US,3
2320,,51,US,1
2321,,50,US,6
2322,,47,US,3
2323,F,45,US,11
2324,,51,US,5
2325,F,49,US,3
2326,,33,US,10
2327,F,29,US,2
2328,F,53,US,2
2329,,36,US,5
2330,F,32,US,8
2331,,39,CA,6
2332,M,40,US,2
2333,M,29,US,41
2334,,21,US,5
2335,M,30,US,4
2336,,52,US,5
2337,M,26,US,2
2338,M,32,US,13
2339,M,33,US,1
2340,,25,US,14
2341,,26,US,1
2342,F,22,US,10
2343,M,49,US,2
2344,M,21,US,13
2345,,21,US,9
2346,F,46,US,2
2347,F,38,US,13
2348,M,33,US,5
2349,M,54,US,2
2350,F,37,US,23
2351,M,25,US,12
2352,,27,US,2
2353,,25,US,3
2354,,34,US,3
2355,M,23,US,7
2356,,54,US,8
2357,M,35,US,12
2358,,24,US,25
2359,F,41,US,13
2360,M,32,US,31
2361,M,36,US,13
2362,F,44,CA,6
2363,F,38,US,8
2364,M,53,CA,28
2365,M,33,US,5
2366,M,28,US,1
2367,,51,US,9
2368,F,54,US,3
2369,,39,US,12
2370,,53,US,1
2371,F,31,US,1
2372,,39,US,16
2373,,27,US,6
2374,F,49,US,11
2375,F,35,US,3
2376,F,38,US,30
2377,M,37,US,10
2378,F,22,US,22
2379,M,40,US,1
2380,,27,US,20
2381,M,21,US,9
2382,F,31,US,1
2383,M,24,US,3
2384,,38,US,9
2385,F,50,US,29
2386,,53,US,9
2387,,53,US,5
2388,F,48,US,1
2389,F,30,US,24
2390,F,53,US,9
2391,F,44,US,3
2392,M,27,US,29
2393,M,34,US,7
2394,,27,US,3
2395,,30,CA,3
2396,M,23,US,13
2397,M,29,US,2
2398,F,49,US,2
2399,,42,US,21
2400,,37,US,4
2401,F,38,US,9
2402,,29,US,39
2403,,21,US,16
2404,F,46,US,12
2405,F,34,US,29
2406,M,51,US,6
2407,M,51,US,5
2408,M,52,US,4
2409,M,31,US,4
2410,,51,CA,3
2411,F,32,US,42
2412,,52,US,2
2413,M,24,US,1
2414,,42,US,5
2415,M,24,US,5
2416,M,29,US,14
2417,F,25,US,2
2418,,34,US,26
2419,F,45,US,4
2420,F,47,US,5
2421,F,22,US,13
2422,M,30,US,6
2423,M,31,US,15
2424,F,52,US,6
2425,F,48,US,1
2426,M,41,US,2
2427,F,36,US,14
2428,F,23,US,11
2429,F,48,US,31
2430,,48,CA,15
2431,,35,US,1
2432,,39,US,9
2433,F,41,US,14
2434,,35,US,12
2435,F,41,US,23
2436,M,33,US,16
2437,M,39,US,10
2438,,50,CA,1
2439,M,38,US,1
2440,,48,US,39
2441,,21,US,13
2442,,31,US,6
2443,F,28,US,28
2444,F,30,US,21
2445,F,50,US,4
2446,F,47,US,2
2447,,28,US,18
2448,F,23,CA,28
2449,F,25,US,1
2450,F,46,US,8
2451,,21,US,11
2452,,31,US,7
2453,,33,US,13
2454,M,47,US,8
2455,,49,US,10
2456,M,38,US,1
2457,F,39,US,15
2458,,29,CA,10
2459,F,43,US,4
2460,F,36,US,5
2461,M,43,US,7
2462,,21,US,13
2463,,35,US,8
2464,M,32,CA,18
2465,,45,US,4
2466,F,45,US,3
2467,F,46,US,7
2468,,21,US,15
2469,M,38,US,7
2470,M,44,US,1
2471,,34,US,2
2472,,34,US,10
2473,,50,US,16
2474,F,30,US,11
2475,F,38,US,5
2476,,26,CA,10
2477,,26,US,3
2478,M,43,US,5
2479,F,32,US,5
2480,,51,US,3
2481,,46,US,6
2482,M,42,US,4
2483,,43,US,2
2484,F,38,US,1
2485,M,43,US,11
2486,F,46,US,16
2487,,41,US,32
2488,,51,US,8
2489,M,22,US,30
2490,F,40,US,1
2491,M,43,US,1
2492,,46,US,1
2493,,37,US,11
2494,M,50,US,2
2495,M,52,US,1
2496,M,25,US,7
2497,,29,US,7
2498,M,49,US,26
2499,F,29,US,3
2500,,39,US,4
2501,M,39,US,3
2502,F,30,US,1
2503,M,31,US,36
2504,,30,US,7
2505,M,54,US,2
2506,,47,US,3
2507,,53,CA,18
2508,,38,US,15
2509,F,39,US,8
2510,M,46,US,1
2511,M,35,US,9
2512,F,39,US,22
2513,M,47,CA,1
2514,F,30,CA,8
2515,,42,US,8
2516,F,23,US,4
2517,F,30,US,14
2518,M,22,US,1
2519,,22,US,3
2520,M,24,US,4
2521,,30,US,20
2522,M,22,US,10
2523,,28,US,5
2524,F,25,US,5
2525,F,52,US,1
2526,F,21,US,2
2527,F,29,US,18
2528,M,22,US,20
2529,M,23,US,3
2530,M,53,US,2
2531,F,53,US,9
2532,M,35,US,26
2533,F,54,US,3
2534,,53,US,9
2535,F,54,US,20
2536,M,24,US,6
2537,,51,US,18
2538,,39,CA,2
2539,F,26,US,21
2540,F,44,US,3
2541,F,51,CA,5
2542,,24,US,8
2543,,42,CA,12
2544,F,35,US,1
2545,M,34,US,12
2546,,30,US,9
2547,,43,US,1
2548,M,24,US,25
2549,,54,US,2
2550,F,33,US,2
2551,,49,US,6
2552,,54,US,3
2553,F,26,US,16
2554,M,52,US,35
2555,,23,US,14
2556,M,30,US,20
2557,,42,US,14
2558,,52,US,2
2559,F,26,US,9
2560,F,27,US,15
2561,,32,US,19
2562,M,44,US,5
2563,M,33,US,36
2564,F,25,US,6
2565,F,40,US,15
2566,,46,US,5
2567,F,33,US,31
2568,M,47,US,9
2569,,40,US,21
2570,F,44,US,33
2571,M,46,US,6
2572,,54,US,2
2573,F,53,US,1
2574,F,26,US,24
2575,F,30,US,1
2576,M,44,US,1
2577,,46,US,3
2578,M,26,US,9
2579,M,27,US,40
2580,M,53,US,5
2581,M,37,US,4
2582,M,25,US,6
2583,,45,US,29
2584,F,30,US,14
2585,M,52,US,24
2586,M,33,US,8
2587,F,45,US,2
2588,,36,US,7
2589,F,26,US,5
2590,F,21,US,15
2591,M,24,US,10
2592,M,40,CA,10
2593,M,40,US,4
2594,M,28,US,9
2595,M,22,US,9
2596,F,29,US,2
2597,M,49,US,13
2598,F,43,US,23
2599,,48,US,3
2600,F,37,US,49
2601,,44,US,71
2602,M,32,US,5
2603,F,25,US,4
2604,F,32,US,24
2605,F,33,US,10
2606,M,40,US,34
2607,,33,CA,2
2608,,44,US,17
2609,F,52,CA,38
2610,M,40,US,1
2611,,30,US,11
2612,M,48,US,5
2613,M,53,US,2
2614,M,44,US,5
2615,M,30,US,2
2616,F,22,US,15
2617,F,30,US,3
2618,,48,US,3
2619,,47,US,6
2620,M,39,US,9
2621,F,48,US,10
2622,,54,US,1
2623,M,32,US,9
2624,,35,US,1
2625,F,25,CA,5
2626,M,22,US,25
2627,M,38,US,5
2628,,46,US,39
2629,,50,US,7
2630,,47,CA,7
2631,F,34,US,17
2632,F,47,US,6
2633,M,25,US,7
2634,,46,US,4
2635,,38,US,2
2636,,45,US,28
2637,,52,US,3
2638,F,41,US,87
2639,,42,US,20
2640,F,54,US,8
2641,F,48,US,24
2642,,28,US,2
2643,M,28,US,2
2644,,32,US,6
2645,M,39,US,2
2646,,43,US,6
2647,,28,US,37
2648,F,51,CA,3
2649,,47,US,1
2650,,45,US,1
2651,,44,US,10
2652,,36,US,3
2653,M,47,US,2
2654,F,49,US,10
2655,M,38,US,16
2656,F,35,US,23
2657,,43,US,43
2658,M,52,US,9
2659,M,24,US,3
2660,F,40,US,2
2661,,30,US,3
2662,F,44,US,18
2663,,54,US,9
2664,M,26,US,7
2665,,51,US,24
2666,M,26,US,18
2667,F,46,US,5
2668,,31,US,2
2669,M,37,CA,4
2670,,42,US,3
2671,,44,US,25
2672,F,25,CA,52
2673,F,25,US,4
2674,M,52,US,2
2675,,38,CA,17
2676,F,24,US,4
2677,F,31,US,18
2678,M,22,US,15
2679,,41,US,6
2680,M,40,US,5
2681,F,26,US,4
2682,F,44,US,7
2683,M,32,US,9
2684,,21,US,22
2685,M,32,US,7
2686,,30,US,36
2687,M,48,US,4
2688,F,48,US,11
2689,M,31,US,8
2690,F,50,US,15
2691,M,39,US,9
2692,M,42,US,3
2693,M,31,US,4
2694,,28,US,52
2695,,42,US,2
2696,F,40,US,3
2697,,35,US,6
2698,F,50,CA,7
2699,F,49,US,29
2700,F,25,US,1
2701,F,26,US,20
2702,,52,CA,2
2703,F,50,US,4
2704,F,33,US,1
2705,F,34,US,5
2706,M,44,US,11
2707,F,34,US,6
2708,F,44,US,13
2709,F,32,US,4
2710,M,42,US,14
